,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-05-03,912790.3235349809,1005842.1118151244,968277.1203709714,888543.3536691295,934901.1595370788,1008182.1098150898,965109.369207019
2022-05-04,941968.6942472612,1034704.4156328734,995416.2152539365,918677.5557714321,963837.08713031,1038450.1287951819,992268.2870152786
2022-05-05,908458.5651121293,998146.0375353392,964284.2559414975,883337.3154627429,931706.2857768554,991778.9288998782,961298.3059943506
2022-05-06,903080.1814298783,995615.144720703,960115.5493603818,877483.7706355526,929655.5852382202,990178.1415489218,958425.9546491443
2022-05-09,882628.8175382768,972220.6383730468,943430.9618588559,853621.4156406795,912903.0690410156,970163.0532491793,939383.15626133
2022-05-10,884456.1335325395,969072.7880770263,942512.6125813596,852559.5442602169,911950.8131244201,971023.9988520225,936908.1273170502
2022-05-11,874881.5891904985,959062.0372530516,929538.685232269,843798.8045119335,897846.5298564453,945158.2596743038,927392.7024682808
2022-05-12,870432.5822324906,954974.2155291137,925764.7270566098,838760.902886079,896083.4278361816,937644.2485892167,924368.5458580491
2022-05-13,883648.7146787797,973693.8070055541,937965.0599537961,855786.8602265178,911803.5482471008,959962.8374676968,937954.548092568
2022-05-16,882951.1273985063,975543.4759127196,937537.6395894162,850633.3404817821,910177.3823993225,958683.6260424223,938734.1147852638
2022-05-17,891355.1215696489,994276.6400744017,955466.6852894895,864310.44036963,925754.5572803039,974752.289717488,951294.9762926606
2022-05-18,864227.7410383378,957113.7802721557,923120.1001835935,835144.0545168163,893760.5183246154,926216.9188823606,917370.1410650994
2022-05-19,857656.3635053788,954204.1338793334,916380.5310917966,825404.383974641,888204.5138156433,924466.3865301197,910467.6102869802
2022-05-20,861998.7894456788,953453.9710985717,913741.0176602475,829882.1150511028,889491.8904216308,930179.0348916443,910723.0846647779
2022-05-23,881494.1003427126,972369.2389208373,932510.4001294248,848331.2039701435,908345.8147227783,946061.6335688077,928736.5887331362
2022-05-24,882294.1945352175,971001.8605791625,932834.2070256345,844447.7199992725,908375.6314380188,944315.3421101499,930145.9652004068
2022-05-25,888165.7565927126,977396.0233217772,938973.8931637876,853236.7683640339,915672.4787700195,950706.6101473125,935729.4174706239
2022-05-26,900889.5445108034,996110.4035631713,954617.0374699704,869704.1744712765,932568.6589648742,970709.1188268756,950788.0673323491
2022-05-27,917408.1344308474,1014339.5173403319,972925.6586361997,885816.4282132122,949936.9122416992,992875.0036402544,967561.4680456745
2022-05-31,912286.7132882692,1006015.0077959594,969007.1946889035,878500.0945670406,944846.5650317688,980121.3335006505,961069.6877204106
2022-06-01,913264.2445458986,999236.1228167113,960037.2576390378,889417.4035494892,940587.0141665954,974969.3684382888,955916.5020971658
2022-06-02,929485.0489053347,1013130.3838106688,971174.3169842832,913806.3206687443,952341.2309749145,990882.7937048033,968590.4209739799
2022-06-03,918719.1001596071,1002413.9516283568,962199.6558362119,904280.6573952037,942245.8788630981,972421.501959182,958435.5136013648
2022-06-06,918075.970826111,1004335.3287340697,961864.6274472348,903383.8770660411,940542.307215454,975431.9819613163,958904.016057219
2022-06-07,926519.7661447146,1013606.2940432128,968800.8422223203,912207.3071376354,947271.7220637817,984535.5880301321,966605.3452295252
2022-06-08,919885.0020608522,1006730.0832964476,959284.9929028623,905688.3732762424,936933.2936427612,977236.2712144327,958761.769744414
2022-06-09,902340.0846566774,986826.9224840697,939279.8138714902,886846.9746792042,918467.8425929565,963158.5313927807,940172.3388047713
2022-06-10,875900.2173547365,958584.3593660888,911851.9872189633,858471.3595977413,888539.9675700683,936156.2227704951,914536.1393258254
2022-06-13,851350.4870233156,930787.628012329,888662.1365071408,828046.1048162701,865670.4028766174,906597.3682826408,889015.045563201
2022-06-14,850977.6799653016,923811.6389299926,885680.7838231198,825616.7233667385,861104.0822513122,899512.0624781443,884589.5920762658
2022-06-15,861708.1095595934,931178.9108645018,897229.3572102658,837451.5513691036,870066.7179553527,909511.0046555947,893436.9713415785
2022-06-16,840442.2854243013,905322.8016802367,877093.2794591062,810787.9304108059,847177.6919467468,884661.6979105539,871836.7549451077
2022-06-17,843738.866432892,897936.2294756469,879948.7423153989,818576.8722100154,846347.7660167236,883297.7248354008,870721.2593600919
2022-06-21,862503.1303222048,920914.5760256347,892525.5130559079,833019.140337022,860653.4272372741,910659.895517057,889408.6126614695
2022-06-22,861809.9573749277,916019.241835266,892611.6358471982,833611.9675666324,858874.575121643,914048.2799077414,888035.9357429025
2022-06-23,872421.5790561411,922620.2065111693,895713.3943348996,840148.3969753162,864181.3477771301,934391.8414426144,893694.2095736548
2022-06-24,896473.6624377939,945545.6353594359,922249.226209747,873091.9775902454,891772.8587977905,949413.7162926424,917679.2138535619
2022-06-27,889060.2930682871,946965.5541369017,918646.9235707395,864288.1371907283,887164.404280426,954058.3030139698,915860.7938891894
2022-06-28,868397.3057941172,933172.9090563353,903218.9032612912,843246.0707869274,872144.2540729064,931649.5033961424,901549.1078652652
2022-06-29,873828.3735202524,937447.1239840087,906042.4672032468,841432.8028109065,875825.3830935974,943698.1541710553,903947.2669021052
2022-06-30,865171.4732822153,929117.0962130126,899226.7386380307,831360.0241821987,867290.2617595214,936296.492359844,896551.1983170782
2022-07-01,877610.9927219126,937772.8967577514,910642.0507374875,841908.8286827633,878206.7351977844,947698.0777629073,905926.7665910978
2022-07-05,880209.498260853,932734.247152954,908321.8784314267,842644.851042306,878355.2607905883,951019.5857395758,902155.9306356908
2022-07-06,883616.7410510752,935416.766722351,907684.4560299985,842100.4276167956,876592.8134257812,960421.4997255831,904191.0770822527
2022-07-07,890335.9749225351,947327.1757418212,918556.9914609067,855097.5426553241,888279.7969157714,971616.934987947,914296.1413468609
2022-07-08,889257.0400928232,946611.0017687377,916552.4362012021,853394.795689931,886234.0012385864,975475.2630883553,912944.4030855387
2022-07-11,887128.9229892466,939980.2015368041,911061.1406460874,850540.8716689083,880396.7927196044,968729.2531731328,908157.7008626044
2022-07-12,876099.3609317514,936643.1291872557,907412.65302478,840264.7527138683,871985.6782138366,966331.1650213666,902549.4977339593
2022-07-13,871638.1194766733,929858.0039202269,904363.6966649167,833722.0729897853,869046.2002933044,958963.9184388843,896474.2715111133
2022-07-14,871325.8054736826,925633.0469805297,898832.8682995908,830091.2286758892,862512.4971797485,967161.0730259294,892319.4843081833
