,date,account_value
189,2022-07-05,880209.498260853
190,2022-07-06,883616.7410510752
191,2022-07-07,890335.9749225351
192,2022-07-08,889257.0400928232
193,2022-07-11,887128.9229892466
194,2022-07-12,876099.3609317514
195,2022-07-13,871638.1194766733
196,2022-07-14,871325.8054736826
197,2022-07-15,886374.9658054087
198,2022-07-18,877470.5023196909
199,2022-07-19,897051.433555958
200,2022-07-20,898782.5608295175
201,2022-07-21,902059.2173694345
202,2022-07-22,888748.0695575449
203,2022-07-25,884773.4641040537
204,2022-07-26,876738.5102466318
205,2022-07-27,894724.6922839853
206,2022-07-28,909950.0677188608
207,2022-07-29,918258.1083301279
208,2022-08-01,915453.2962115976
209,2022-08-02,902523.8756946299
210,2022-08-03,914396.8356860849
211,2022-08-04,916428.9947742197
212,2022-08-05,919564.785950062
213,2022-08-08,913771.4328159067
214,2022-08-09,911906.1362918589
215,2022-08-10,925404.4172672007
216,2022-08-11,923590.991203663
217,2022-08-12,933876.6347125742
218,2022-08-15,943862.1890338633
219,2022-08-16,947529.356300709
220,2022-08-17,942236.4565509531
221,2022-08-18,939316.4883350107
222,2022-08-19,930126.6000903818
223,2022-08-22,911255.1313403818
224,2022-08-23,904400.0111926767
225,2022-08-24,906339.9085010263
226,2022-08-25,913024.6811603281
227,2022-08-26,884152.5834125254
228,2022-08-29,878765.8650134775
229,2022-08-30,871759.9432605478
230,2022-08-31,864023.6899036142
231,2022-09-01,867513.7281421396
232,2022-09-02,857077.3875201914
233,2022-09-06,853535.0393298838
234,2022-09-07,865235.9007648203
235,2022-09-08,869300.8420642588
236,2022-09-09,884413.8301776621
237,2022-09-12,891203.5019916269
238,2022-09-13,858765.0941699716
239,2022-09-14,855977.1751025888
240,2022-09-15,841741.8547443125
241,2022-09-16,839512.8856586191
242,2022-09-19,842477.5677112314
243,2022-09-20,834109.740410206
244,2022-09-21,818391.0386737558
245,2022-09-22,817613.0058368418
246,2022-09-23,807775.5999072763
247,2022-09-26,799923.5169212915
248,2022-09-27,793435.985424328
249,2022-09-28,803651.7109874574
250,2022-09-29,793997.5890697328
251,2022-09-30,780547.3816642077
252,2022-10-03,802528.0141370698
253,2022-10-04,824068.5953968946
254,2022-10-05,824612.210852522
255,2022-10-06,813174.7726220075
256,2022-10-07,793490.3542851392
257,2022-10-10,787004.8058117811
258,2022-10-11,780377.9178713018
259,2022-10-12,778810.0087526494
260,2022-10-13,804478.9090898687
261,2022-10-14,793373.2381609136
262,2022-10-17,811773.6731889897
263,2022-10-18,821640.8264177495
264,2022-10-19,817647.3092897588
265,2022-10-20,819210.6675928289
266,2022-10-21,832058.3741090947
267,2022-10-24,841444.8176019841
268,2022-10-25,852529.7844370061
269,2022-10-26,846611.0048044377
270,2022-10-27,852309.3404253179
271,2022-10-28,879875.4822366887
272,2022-10-31,872635.9985597783
273,2022-11-01,868874.3610933477
274,2022-11-02,850766.4284685308
275,2022-11-03,841916.9957826787
276,2022-11-04,850882.2468164617
277,2022-11-07,862976.2644327336
278,2022-11-08,870182.7012499028
279,2022-11-09,854960.5790918523
280,2022-11-10,892490.980481928
281,2022-11-11,891365.504510706
282,2022-11-14,888739.8770769292
283,2022-11-15,892299.1570223027
284,2022-11-16,892341.9415529424
