time/fps,train/entropy_loss,train/value_loss,train/explained_variance,time/time_elapsed,time/total_timesteps,train/policy_loss,train/learning_rate,time/iterations,train/reward,train/n_updates,train/std
222,-42.168365478515625,11.78741455078125,0.0032146573066711426,134,30000,-141.6560821533203,0.0007,6000,0.28580394,5999,1.0376003980636597
223,-42.15266036987305,3.3529052734375,-5.024204254150391,136,30500,-43.813594818115234,0.0007,6100,0.3593221,6099,1.0368818044662476
223,-42.172645568847656,37.987892150878906,0.18250495195388794,138,31000,-222.30062866210938,0.0007,6200,-2.3948507,6199,1.0376687049865723
222,-42.22267150878906,0.9567648768424988,0.0,141,31500,-19.81889533996582,0.0007,6300,-0.4159502,6299,1.0393871068954468
222,-42.27599334716797,10.17858600616455,0.0,143,32000,-102.9743881225586,0.0007,6400,3.351285,6399,1.0416339635849
223,-42.34236145019531,34.841392517089844,0.0,145,32500,230.9679718017578,0.0007,6500,-2.1201808,6499,1.0437968969345093
222,-42.39851379394531,9.095892906188965,0.0,148,33000,-128.41796875,0.0007,6600,-2.443379,6599,1.0456691980361938
222,-42.319854736328125,0.2744031846523285,1.1920928955078125e-07,150,33500,-4.174376487731934,0.0007,6700,1.7117316,6699,1.0429587364196777
222,-42.348968505859375,10.287272453308105,5.960464477539063e-08,152,34000,129.61141967773438,0.0007,6800,-1.7427318,6799,1.0438605546951294
222,-42.31549072265625,3.895791530609131,1.1920928955078125e-07,154,34500,-31.482318878173828,0.0007,6900,-2.3562634,6899,1.0425664186477661
222,-42.33395767211914,17.120189666748047,0.0,157,35000,158.392822265625,0.0007,7000,0.23868735,6999,1.043563961982727
221,-42.314815521240234,0.02367156371474266,0.0,160,35500,-2.545119524002075,0.0007,7100,0.4698554,7099,1.0431087017059326
221,-42.298885345458984,6.004846096038818,0.0,162,36000,101.42716217041016,0.0007,7200,1.1368964,7199,1.042413353919983
221,-42.33413314819336,1.2395621538162231,0.0,164,36500,12.966758728027344,0.0007,7300,-0.15792622,7299,1.0435786247253418
221,-42.33045196533203,7.0822601318359375,0.0,167,37000,-64.03919219970703,0.0007,7400,1.7643878,7399,1.04341459274292
221,-42.3645133972168,0.24508042633533478,1.1920928955078125e-07,169,37500,-11.930593490600586,0.0007,7500,1.9491322,7499,1.0448451042175293
221,-42.36690902709961,2.9836392402648926,-1.1920928955078125e-07,171,38000,24.88778305053711,0.0007,7600,1.365315,7599,1.0447945594787598
221,-42.340431213378906,0.08321540057659149,-0.1250135898590088,173,38500,-6.007070541381836,0.0007,7700,-0.4093366,7699,1.0438141822814941
221,-42.341007232666016,4.3846330642700195,0.0,175,39000,76.60719299316406,0.0007,7800,-0.17954984,7799,1.0436851978302002
221,-42.35929489135742,9.04069709777832,0.0,178,39500,-122.62921142578125,0.0007,7900,1.1561844,7899,1.0444352626800537
221,-42.402549743652344,2.7572786808013916,0.0,180,40000,-60.497657775878906,0.0007,8000,0.6298971,7999,1.0458824634552002
222,-42.41503143310547,102.72977447509766,0.0,182,40500,-350.96270751953125,0.0007,8100,7.259581,8099,1.0465205907821655
222,-42.45319366455078,1706.61328125,0.00043314695358276367,184,41000,-1718.490234375,0.0007,8200,-13.334194,8199,1.0476963520050049
222,-42.4395751953125,13.817095756530762,0.03860175609588623,186,41500,-137.16551208496094,0.0007,8300,-1.0252146,8299,1.0473839044570923
222,-42.444435119628906,3.4932849407196045,0.0,189,42000,-69.83428192138672,0.0007,8400,0.20204566,8399,1.0477821826934814
222,-42.46893310546875,2.289247989654541,5.960464477539063e-08,191,42500,-27.593542098999023,0.0007,8500,1.892281,8499,1.0488934516906738
222,-42.48387908935547,4.253401756286621,-1.1920928955078125e-07,193,43000,-63.68402862548828,0.0007,8600,2.8837805,8599,1.0492860078811646
222,-42.4560546875,43.375511169433594,0.0,195,43500,-258.482666015625,0.0007,8700,3.361857,8699,1.0481213331222534
222,-42.45189666748047,315.49945068359375,-1.1920928955078125e-07,197,44000,709.709228515625,0.0007,8800,0.40027577,8799,1.0480190515518188
222,-42.489776611328125,4.111320495605469,0.0,199,44500,74.41182708740234,0.0007,8900,1.405142,8899,1.0494835376739502
220,-42.54042053222656,9.753947257995605,-1.7033195495605469,204,45000,123.22306823730469,0.0007,9000,0.15758005,8999,1.0514216423034668
220,-42.567420959472656,1.3369084596633911,5.960464477539063e-08,206,45500,46.31882858276367,0.0007,9100,-0.7878617,9099,1.0524487495422363
220,-42.585697174072266,6.051636695861816,0.0,208,46000,99.11265563964844,0.0007,9200,0.5790048,9199,1.053061604499817
220,-42.6081657409668,5.311295986175537,0.0,210,46500,71.84172058105469,0.0007,9300,3.9333048,9299,1.0536688566207886
221,-42.58613586425781,92.35432434082031,0.0,212,47000,307.247802734375,0.0007,9400,6.342305,9399,1.0528262853622437
221,-42.56783676147461,0.6346744298934937,0.0,214,47500,9.962679862976074,0.0007,9500,0.2503087,9499,1.0523767471313477
221,-42.639854431152344,1.299757719039917,0.0,216,48000,42.43323516845703,0.0007,9600,-1.2978181,9599,1.0548747777938843
221,-42.700801849365234,0.6610018014907837,-1.1920928955078125e-07,219,48500,23.064085006713867,0.0007,9700,-1.4413133,9699,1.0569803714752197
221,-42.7202033996582,27.517040252685547,0.0,221,49000,-223.6807861328125,0.0007,9800,-1.3260376,9799,1.0577276945114136
221,-42.80160903930664,1.109374761581421,5.960464477539063e-08,223,49500,-16.89301109313965,0.0007,9900,0.9740255,9899,1.0609655380249023
221,-42.88279724121094,44.84897994995117,0.0,226,50000,179.47705078125,0.0007,10000,-6.372118,9999,1.0639806985855103
